"id","name","price_amount","funding_total_usd","funding_round_id","funding_round_type","funding_round_code","raised_amount_usd"
"c:72","GrandCentral",60000000,4000000,52,"series-a","a",4000000
"c:155","FeedBurner",100000000,8000000,130,"series-a","a",1000000
"c:155","FeedBurner",100000000,8000000,131,"series-b","b",7000000
"c:348","Insider Pages",13000000,8500000,305,"series-a","a",8500000
"c:658","iVillage",600000000,NULL,24974,"venture","unattributed",NULL
"c:663","Yadio",64300000,NULL,23452,"angel","seed",NULL
"c:648","Tacoda",275000000,19000000,12332,"series-c+","d",7000000
"c:648","Tacoda",275000000,19000000,13488,"venture","unattributed",12000000
"c:850","Jamdat Mobile",673600000,NULL,44877,"series-b","b",NULL
"c:850","Jamdat Mobile",673600000,NULL,44878,"series-c+","c",NULL
"c:850","Jamdat Mobile",673600000,NULL,44879,"series-c+","d",NULL
"c:1353","HowStuffWorks",250000000,75000000,2345,"venture","unattributed",75000000
"c:1611","Match",50000000,NULL,1181,"series-a","a",NULL
"c:126","SideStep",180000000,32000000,105,"series-c+","c",15000000
"c:126","SideStep",180000000,32000000,107,"series-b","b",8000000
"c:126","SideStep",180000000,32000000,226,"series-a","a",2200000
"c:126","SideStep",180000000,32000000,227,"series-a","a",6800000
"c:1722","jellyfish",50000000,5000000,1298,"series-a","a",5000000
"c:1385","Ask.com",1850000000,25000000,1192,"series-a","a",25000000
"c:1385","Ask.com",1850000000,25000000,1193,"angel","seed",NULL
"c:1834","Affinity Labs",61000000,NULL,9472,"series-a","a",NULL
"c:2372","Danger",500000000,118300000,1553,"series-b","b",36000000
"c:2372","Danger",500000000,118300000,1554,"series-c+","d",35000000
"c:2372","Danger",500000000,118300000,1555,"series-c+","d",37000000
"c:2372","Danger",500000000,118300000,13499,"series-c+","e",10300000
"c:483","Hitwise",240000000,4200000,464,"series-a","a",4200000
"c:524","Pluck",75000000,17000000,407,"series-b","b",8500000
"c:524","Pluck",75000000,17000000,1683,"series-c+","c",7000000
"c:524","Pluck",75000000,17000000,1684,"series-a","a",1500000
"c:142","Bebo",850000000,15000000,121,"series-a","a",15000000
"c:827","Auctomatic",5000000,400000,983,"angel","angel",400000
"c:827","Auctomatic",5000000,400000,1789,"angel","seed",NULL
"c:533","Atom Entertainment",200000000,22900000,415,"series-a","a",22900000
"c:135","Pageflakes",3000000,4100000,117,"series-a","a",1300000
"c:135","Pageflakes",3000000,4100000,2040,"other","debt_round",2800000
"c:105","Surphace",25000000,3500000,88,"series-b","b",3000000
"c:105","Surphace",25000000,3500000,89,"series-a","a",500000
"c:522","Simple Star",6000000,7100000,404,"angel","seed",800000
"c:522","Simple Star",6000000,7100000,19004,"series-a","a",6300000
"c:27","Plaxo",150000000,28300000,20,"series-a","a",3800000
"c:27","Plaxo",150000000,28300000,21,"series-b","b",8500000
"c:27","Plaxo",150000000,28300000,29,"series-c+","c",7000000
"c:27","Plaxo",150000000,28300000,30,"series-c+","d",9000000
"c:515","ZYB",31500000,3845100,389,"series-a","a",3845100
"c:515","ZYB",31500000,3845100,2124,"angel","angel",NULL
"c:3107","LiveDeal",12000000,4900000,2380,"series-a","a",4900000
"c:5983","M:Metrics",44000000,18000000,2426,"series-b","b",7000000
"c:5983","M:Metrics",44000000,18000000,2427,"venture","unattributed",11000000
"c:6507","SwapDrive",123000000,4650000,2565,"series-a","a",2650000
"c:6507","SwapDrive",123000000,4650000,2566,"series-a","a",2000000
"c:3977","Odeo",1000000,NULL,2383,"series-a","a",NULL
"c:1613","Ribbit",105000000,11000000,1183,"series-b","b",7700000
"c:1613","Ribbit",105000000,11000000,1184,"series-a","a",3300000
"c:9737","AxisMobile",4900000,3000000,14127,"venture","unattributed",3000000
"c:10197","PostPath",215000000,24300000,3292,"series-c+","c",15000000
"c:10197","PostPath",215000000,24300000,9515,"series-b","b",9300000
"c:7129","Imagekind",8400000,2600000,3495,"angel","seed",NULL
"c:7129","Imagekind",8400000,2600000,3496,"series-a","a",2600000
"c:1595","Bill Me Later",945000000,100000000,1171,"series-a","a",27400000
"c:1595","Bill Me Later",945000000,100000000,1172,"series-a","a",72600000
"c:1595","Bill Me Later",945000000,100000000,2315,"venture","unattributed",NULL
"c:3080","DailyStrength",3125000,5000000,2647,"series-a","a",5000000
"c:21986","Enpocket",100000000,2000000,8685,"other","debt_round",2000000
"c:22293","Xiam",32000000,1221900,5793,"series-a","a",1221900
"c:23209","Tellme",800000000,6000000,18450,"series-a","a",6000000
"c:264","Going",10000000,5000000,238,"series-a","a",5000000
"c:26243","Purple Labs",100590000,12670000,12203,"series-a","a",12670000
"c:26467","Enliven Marketing Technologies",71000000,12310000,12364,"venture","unattributed",10340000
"c:26467","Enliven Marketing Technologies",71000000,12310000,19347,"venture","unattributed",1970000
"c:26732","Berkäna Wireless",56000000,NULL,7267,"series-a","a",NULL
"c:26732","Berkäna Wireless",56000000,NULL,7268,"series-b","b",NULL
"c:26732","Berkäna Wireless",56000000,NULL,7269,"series-c+","c",NULL
"c:508","Zappos",1200000000,62750000,450,"series-c+","d",20000000
"c:508","Zappos",1200000000,62750000,451,"series-c+","e",15000000
"c:508","Zappos",1200000000,62750000,452,"series-c+","c",7500000
"c:508","Zappos",1200000000,62750000,453,"series-b","b",1100000
"c:508","Zappos",1200000000,62750000,7641,"series-c+","e",6000000
"c:508","Zappos",1200000000,62750000,7642,"series-c+","e",13000000
"c:508","Zappos",1200000000,62750000,7643,"series-a","a",150000
"c:508","Zappos",1200000000,62750000,18448,"angel","angel",NULL
"c:3770","Xoopit",20000000,6500000,1920,"series-a","angel",1500000
"c:3770","Xoopit",20000000,6500000,1921,"series-a","a",5000000
"c:1001","FriendFeed",47500000,5000000,1644,"series-a","a",5000000
"c:8523","Hands-On Mobile",30000000,30000000,17910,"series-c+","c",30000000
"c:2410","Maktoob",164000000,5250000,13646,"venture","unattributed",5250000
"c:5895","Apertio",140000000,30000000,2405,"series-b","b",30000000
"c:9665","Atrua Technologies",600000000,13000000,5173,"series-c+","f",NULL
"c:9665","Atrua Technologies",600000000,13000000,15806,"series-c+","d",9000000
"c:9665","Atrua Technologies",600000000,13000000,24803,"series-c+","e",4000000
"c:2593","Tiny Pictures",2600000,11200000,1615,"series-a","a",4000000
"c:2593","Tiny Pictures",2600000,11200000,1616,"angel","seed",NULL
"c:2593","Tiny Pictures",2600000,11200000,1628,"series-b","b",7200000
"c:15996","WildBlue",568000000,50000000,4318,"venture","unattributed",50000000
"c:14036","WiChorus",165000000,42500000,3966,"series-c+","c",18000000
"c:14036","WiChorus",165000000,42500000,12119,"venture","unattributed",15000000
"c:14036","WiChorus",165000000,42500000,14204,"series-b","b",8500000
"c:14036","WiChorus",165000000,42500000,19381,"series-a","a",1000000
"c:1437","eTapestry",25000000,6500000,1038,"series-a","a",6500000
"c:2037","Aductions",3500000,100000,1563,"angel","seed",100000
"c:1390","Revolution Money",300000000,107225000,998,"series-b","b",50000000
"c:1390","Revolution Money",300000000,107225000,5521,"series-c+","c",42000000
"c:1390","Revolution Money",300000000,107225000,39784,"series-c+","d",15225000
"c:20253","Networks in Motion",170000000,10000000,13033,"series-c+","c",10000000
"c:538","Friendster",26400000,48500000,423,"series-b","b",13000000
"c:538","Friendster",26400000,48500000,760,"series-c+","c",10000000
"c:538","Friendster",26400000,48500000,3094,"series-c+","d",20000000
"c:538","Friendster",26400000,48500000,7026,"series-a","a",2400000
"c:538","Friendster",26400000,48500000,13783,"venture","unattributed",3100000
"c:13046","DocVerse",25000000,1300000,7116,"angel","seed",1300000
"c:60","Jajah",207000000,33000000,78,"series-c+","c",20000000
"c:60","Jajah",207000000,33000000,667,"series-a","a",3000000
"c:60","Jajah",207000000,33000000,668,"series-b","b",5000000
"c:60","Jajah",207000000,33000000,10485,"series-c+","d",5000000
"c:4622","Aardvark",50000000,6000000,2101,"angel","angel",750000
"c:4622","Aardvark",50000000,6000000,3764,"series-a","a",5250000
"c:41469","Multicast Media",18000000,NULL,13018,"venture","unattributed",NULL
"c:6085","Jigsaw",142000000,17950000,2456,"series-a","a",750000
"c:6085","Jigsaw",142000000,17950000,2457,"series-b","b",5200000
"c:6085","Jigsaw",142000000,17950000,2458,"series-c+","c",12000000
"c:6706","LabPixies",25000000,1000000,2605,"series-a","a",1000000
"c:3825","Palm",1200000000,100000000,4276,"series-c+","c",100000000
"c:336","Associated Content",90000000,21400000,287,"series-a","a",5400000
"c:336","Associated Content",90000000,21400000,288,"series-b","b",10000000
"c:336","Associated Content",90000000,21400000,5786,"series-c+","c",6000000
"c:9811","Tsavo Media",75000000,NULL,3229,"series-a","a",NULL
"c:22505","CreditCards.com",145000000,58800000,11442,"venture","unattributed",58800000
"c:55354","WAY Systems",9000000,22000000,17915,"series-c+","c",22000000
"c:398","Polar Rose",29000000,5100000,325,"series-a","a",5100000
