"id","name","funding_total_usd","price_amount","serieA","serieB","serieC","angel","VC","other"
"c:37426","Notify Technology",248502,5000000,0,0,0,0,248502,0
"c:163905","M.dot",700000,2500000,0,0,0,600000,0,0
"c:37635","Venmo",1200000,26200000,NULL,0,0,1200000,0,0
"c:22293","Xiam",1221900,32000000,1000000,0,0,0,0,0
"c:74928","CrowdCompass",1300000,10000000,1300000,0,0,0,0,0
"c:7329","Instinctiv",1420698,10000000,0,0,0,750000,400002,270696
"c:144457","Summly",1530000,30000000,0,0,0,300000,1230000,0
"c:21986","Enpocket",2000000,100000000,0,0,0,0,0,2000000
"c:36441","Zokem",2388400,24000000,0,0,0,0,2000000,0
"c:9737","AxisMobile",3000000,4900000,0,0,0,0,3000000,0
"c:37947","JagTag",3628372,5500000,0,0,0,0,3628372,0
"c:515","ZYB",3845100,31500000,3000000,0,0,0,0,NULL
"c:72","GrandCentral",4000000,60000000,4000000,0,0,0,0,0
"c:64403","LiveWire Mobile",4420000,17800000,0,0,0,0,0,1650000
"c:46162","Bitboys Oy",4788800,44000000,0,0,0,0,4000000,0
"c:37215","Dashwire",5056559,18500000,1197100,0,0,0,1000000,0
"c:50206","Snaptu",6000000,60000000,0,6000000,0,0,0,0
"c:83692","Crashlytics",6000000,100000000,5000000,0,0,1000000,0,0
"c:23209","Tellme",6000000,800000000,6000000,0,0,0,0,0
"c:67832","Poynt",6261912,2500000,0,0,0,0,5711912,550000
"c:44893","FoneStarz Media",6975497,4000000,0,0,0,0,4000000,0
"c:17205","Com2uS Corp.",8000000,65000000,8000000,0,0,0,0,0
"c:92846","Lemon",8000000,42600000,8000000,0,0,0,0,0
"c:52365","Intucell",8500000,475000000,0,0,0,0,6000000,0
"c:22899","Arieso",9513176,85000000,0,0,0,0,1000000,0
"c:20253","Networks in Motion",10000000,170000000,0,0,10000000,0,0,0
"c:1613","Ribbit",11000000,105000000,3300000,7700000,0,0,0,0
"c:2593","Tiny Pictures",11200000,2600000,4000000,7200000,0,NULL,0,0
"c:23098","Miyowa",11725600,59000000,3000000,7870000,0,0,0,0
"c:26243","Purple Labs",12670000,100590000,12670000,0,0,0,0,0
"c:18163","Casabi",12800000,1950000,2800000,10000000,0,0,0,0
"c:73586","Onavo",13000000,150000000,3000000,10000000,0,0,0,0
"c:9665","Atrua Technologies",13000000,600000000,0,0,0,0,0,4000000
"c:1628","Qik",14800000,150000000,0,3000000,5500000,0,6300000,0
"c:11888","Avaak",17000000,31000000,7000000,10000000,0,0,0,0
"c:938","Worklight",17600000,70000000,5100000,12000000,0,0,500000,0
"c:5983","M:Metrics",18000000,44000000,0,7000000,0,0,11000000,0
"c:58944","MoPub",18500000,350000000,6500000,12000000,0,NULL,0,0
"c:47792","Enfora",19000000,70000000,0,0,0,0,19000000,0
"c:2275","Where",19100000,135000000,600000,4500000,11000000,0,0,3000000
"c:55354","WAY Systems",22000000,9000000,0,0,22000000,0,0,0
"c:14524","Air2Web",25000000,19000000,0,0,0,0,25000000,0
"c:17660","Firethorn",25131611,210000000,0,50000,0,0,10280000,0
"c:43128","Adenyo",26900000,100000000,0,0,0,0,26900000,0
"c:3949","Zong",27500000,240000000,5000000,7500000,0,0,0,0
"c:22992","AeroScout",28000000,238800000,0,0,0,0,0,16000000
"c:95","fring Ltd",30000000,50000000,3000000,10000000,10000000,0,0,0
"c:5895","Apertio",30000000,140000000,0,30000000,0,0,0,0
"c:8523","Hands-On Mobile",30000000,30000000,0,0,30000000,0,0,0
"c:36059","IPWireless",31580000,150000000,15500000,0,0,0,6080000,0
"c:1309","Loopt",32006000,43000000,5000000,12000000,15000000,6000,0,0
"c:60","Jajah",33000000,207000000,3000000,5000000,20000000,0,0,5000000
"c:14608","mFoundry",40300000,120000000,0,7300000,15000000,0,18000000,0
"c:14036","WiChorus",42500000,165000000,1000000,8500000,18000000,0,15000000,0
"c:39325","Hughes Telematics",67255150,612000000,0,0,0,0,5000002,46863648
"c:29361","Ubiquisys",81000000,310000000,12000000,25000000,0,0,19000000,0
"c:3134","modu",85000000,4900000,20000000,58000000,0,0,7000000,0
"c:44","Jingle Networks",88651133,62500000,5000000,26000000,13000000,0,6751133,7500000
"c:3825","Palm",100000000,1200000000,0,0,100000000,0,0,0
"c:4014","SiBEAM",113750000,25500000,15000000,21000000,40000000,1250000,NULL,36500000
"c:21378","Ember",118000000,72000000,0,20000000,0,0,12000000,5000000
"c:2372","Danger",118300000,500000000,0,36000000,0,0,0,10300000
"c:24295","Icera",212000000,367000000,0,0,40000000,0,45000000,5000000
"c:16393","NextG Networks",409900000,1000000000,0,0,0,0,360100000,0
