name,price_amount,funding_total_usd,funding_round_code,raised_amount_usd
GrandCentral,60000000,4000000,a,4000000
FeedBurner,100000000,8000000,a,1000000
FeedBurner,100000000,8000000,b,7000000
Insider Pages,13000000,8500000,a,8500000
iVillage,600000000,NULL,unattributed,NULL
Yadio,64300000,NULL,seed,NULL
Tacoda,275000000,19000000,d,7000000
Tacoda,275000000,19000000,unattributed,12000000
Jamdat Mobile,673600000,NULL,b,NULL
Jamdat Mobile,673600000,NULL,c,NULL
Jamdat Mobile,673600000,NULL,d,NULL
HowStuffWorks,250000000,75000000,unattributed,75000000
Match,50000000,NULL,a,NULL
SideStep,180000000,32000000,c,15000000
SideStep,180000000,32000000,b,8000000
SideStep,180000000,32000000,a,2200000
SideStep,180000000,32000000,a,6800000
jellyfish,50000000,5000000,a,5000000
Ask.com,1850000000,25000000,a,25000000
Ask.com,1850000000,25000000,seed,NULL
Affinity Labs,61000000,NULL,a,NULL
Danger,500000000,118300000,b,36000000
Danger,500000000,118300000,d,35000000
Danger,500000000,118300000,d,37000000
Danger,500000000,118300000,e,10300000
Hitwise,240000000,4200000,a,4200000
Pluck,75000000,17000000,b,8500000
Pluck,75000000,17000000,c,7000000
Pluck,75000000,17000000,a,1500000
Bebo,850000000,15000000,a,15000000
Auctomatic,5000000,400000,angel,400000
Auctomatic,5000000,400000,seed,NULL
Atom Entertainment,200000000,22900000,a,22900000
Pageflakes,3000000,4100000,a,1300000
Pageflakes,3000000,4100000,debt_round,2800000
Surphace,25000000,3500000,b,3000000
Surphace,25000000,3500000,a,500000
Simple Star,6000000,7100000,seed,800000
Simple Star,6000000,7100000,a,6300000
Plaxo,150000000,28300000,a,3800000
Plaxo,150000000,28300000,b,8500000
Plaxo,150000000,28300000,c,7000000
Plaxo,150000000,28300000,d,9000000
ZYB,31500000,3845100,a,3845100
ZYB,31500000,3845100,angel,NULL
LiveDeal,12000000,4900000,a,4900000
M:Metrics,44000000,18000000,b,7000000
M:Metrics,44000000,18000000,unattributed,11000000
SwapDrive,123000000,4650000,a,2650000
SwapDrive,123000000,4650000,a,2000000
Odeo,1000000,NULL,a,NULL
Ribbit,105000000,11000000,b,7700000
Ribbit,105000000,11000000,a,3300000
AxisMobile,4900000,3000000,unattributed,3000000
PostPath,215000000,24300000,c,15000000
PostPath,215000000,24300000,b,9300000
Imagekind,8400000,2600000,seed,NULL
Imagekind,8400000,2600000,a,2600000
Bill Me Later,945000000,100000000,a,27400000
Bill Me Later,945000000,100000000,a,72600000
Bill Me Later,945000000,100000000,unattributed,NULL
DailyStrength,3125000,5000000,a,5000000
Enpocket,100000000,2000000,debt_round,2000000
Xiam,32000000,1221900,a,1221900
Tellme,800000000,6000000,a,6000000
Going,10000000,5000000,a,5000000
Purple Labs,100590000,12670000,a,12670000
Enliven Marketing Technologies,71000000,12310000,unattributed,10340000
Enliven Marketing Technologies,71000000,12310000,unattributed,1970000
Berkäna Wireless,56000000,NULL,a,NULL
Berkäna Wireless,56000000,NULL,b,NULL
Berkäna Wireless,56000000,NULL,c,NULL
Zappos,1200000000,62750000,d,20000000
Zappos,1200000000,62750000,e,15000000
Zappos,1200000000,62750000,c,7500000
Zappos,1200000000,62750000,b,1100000
Zappos,1200000000,62750000,e,6000000
Zappos,1200000000,62750000,e,13000000
Zappos,1200000000,62750000,a,150000
Zappos,1200000000,62750000,angel,NULL
Xoopit,20000000,6500000,angel,1500000
Xoopit,20000000,6500000,a,5000000
FriendFeed,47500000,5000000,a,5000000
Hands-On Mobile,30000000,30000000,c,30000000
Maktoob,164000000,5250000,unattributed,5250000
Apertio,140000000,30000000,b,30000000
Atrua Technologies,600000000,13000000,f,NULL
Atrua Technologies,600000000,13000000,d,9000000
Atrua Technologies,600000000,13000000,e,4000000
Tiny Pictures,2600000,11200000,a,4000000
Tiny Pictures,2600000,11200000,seed,NULL
Tiny Pictures,2600000,11200000,b,7200000
WildBlue,568000000,50000000,unattributed,50000000
WiChorus,165000000,42500000,c,18000000
WiChorus,165000000,42500000,unattributed,15000000
WiChorus,165000000,42500000,b,8500000
WiChorus,165000000,42500000,a,1000000
eTapestry,25000000,6500000,a,6500000
Aductions,3500000,100000,seed,100000
Revolution Money,300000000,107225000,b,50000000
Revolution Money,300000000,107225000,c,42000000
Revolution Money,300000000,107225000,d,15225000
Networks in Motion,170000000,10000000,c,10000000
Friendster,26400000,48500000,b,13000000
Friendster,26400000,48500000,c,10000000
Friendster,26400000,48500000,d,20000000
Friendster,26400000,48500000,a,2400000
Friendster,26400000,48500000,unattributed,3100000
DocVerse,25000000,1300000,seed,1300000
Jajah,207000000,33000000,c,20000000
Jajah,207000000,33000000,a,3000000
Jajah,207000000,33000000,b,5000000
Jajah,207000000,33000000,d,5000000
Aardvark,50000000,6000000,angel,750000
Aardvark,50000000,6000000,a,5250000
Multicast Media,18000000,NULL,unattributed,NULL
Jigsaw,142000000,17950000,a,750000
Jigsaw,142000000,17950000,b,5200000
Jigsaw,142000000,17950000,c,12000000
LabPixies,25000000,1000000,a,1000000
Palm,1200000000,100000000,c,100000000
Associated Content,90000000,21400000,a,5400000
Associated Content,90000000,21400000,b,10000000
Associated Content,90000000,21400000,c,6000000
Tsavo Media,75000000,NULL,a,NULL
CreditCards.com,145000000,58800000,unattributed,58800000
