Company Name,Series A,Series B,Series C,Angel,VC,Other,Total Funding,Acquisition Price
FriendFeed,5000000,0,0,0,0,0,5000000,47500000
PostPath,0,9300000,15000000,0,0,0,24300000,215000000
Surphace,500000,3000000,0,0,0,0,3500000,25000000
Tumblr,750000,4500000,5000000,0,85000000,0,125250000,1100000000
Avaak,7000000,10000000,0,0,0,0,17000000,31000000
Curbed Network,0,0,0,0,0,1500000,1500000,30000000
SideStep,6800000,8000000,15000000,0,0,0,32000000,180000000
MerchantCircle,4300000,10000000,0,0,0,0,14300000,60000000
StumbleUpon,0,17000000,0,1500000,0,0,18500000,29000000
DocVerse,0,0,0,1300000,0,0,1300000,25000000
Loopt,5000000,12000000,15000000,6000,0,0,32006000,43000000
Drugstore.com,0,0,0,0,63000000,0,63000000,409000000
Pageflakes,1300000,0,0,0,0,2800000,4100000,3000000
HowStuffWorks,0,0,0,0,75000000,0,75000000,250000000
Ask.com,25000000,0,0,0,0,0,25000000,1850000000
Revolution Money,0,50000000,42000000,0,0,15225000,107225000,300000000
WiChorus,1000000,8500000,18000000,0,15000000,0,42500000,165000000
Bebo,15000000,0,0,0,0,0,15000000,850000000
eTapestry,6500000,0,0,0,0,0,6500000,25000000
Summly,0,0,0,300000,1230000,0,1530000,30000000
Phanfare,0,2000000,2500000,0,0,500000,5000000,2000000
Air2Web,0,0,0,0,25000000,0,25000000,19000000
mFoundry,0,7300000,15000000,0,18000000,0,40300000,120000000
FeedBurner,1000000,7000000,0,0,0,0,8000000,100000000
Bill Me Later,72600000,0,0,0,0,0,100000000,945000000
WildBlue,0,0,0,0,50000000,0,50000000,568000000
Kosmix,7000000,18000000,10000000,0,0,20000000,55000000,300000000
Goodreads,2000000,0,0,0,0,750000,2750000,150000000
Ribbit,3300000,7700000,0,0,0,0,11000000,105000000
Sensory Networks,0,0,10000000,0,4900000,0,17400000,20000000
Qik,0,3000000,5500000,0,6300000,0,14800000,150000000
M.dot,0,0,0,600000,0,0,700000,2500000
NextG Networks,0,0,0,0,360100000,0,409900000,1000000000
Infinity Box,0,0,0,18000,0,100000,118000,35000000
BrightNest,0,0,0,950000,0,0,950000,6300000
